2018-03-15 10:01:55,323 [Worker-34] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: se172:karaf-twitter:0.0.1-SNAPSHOT @ /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/pom.xml.
2018-03-15 10:01:55,656 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:01:55,658 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 10:01:55,660 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:01:55,660 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/src/test/resources
2018-03-15 10:01:55,661 [Worker-34] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of karaf-twitter
2018-03-15 10:01:55,661 [Worker-34] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for karaf-twitter
2018-03-15 10:01:55,664 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:01:56,826 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:01:56,828 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 10:01:56,829 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:01:56,830 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/src/test/resources
2018-03-15 10:02:07,505 [Worker-37] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-03-15 10:02:07,677 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: se172:karaf-twitter:0.0.1-SNAPSHOT @ /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/pom.xml.
2018-03-15 10:02:07,914 [Worker-37] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /karaf-twitter/src/main/java
2018-03-15 10:02:07,914 [Worker-37] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /karaf-twitter/src/main/resources
2018-03-15 10:02:07,915 [Worker-37] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /karaf-twitter/src/test/java
2018-03-15 10:02:08,280 [Worker-37] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for karaf-twitter
2018-03-15 10:02:08,283 [Worker-37] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-03-15 10:02:08,422 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:02:08,423 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-15 10:02:08,424 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:02:08,424 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/src/test/resources
2018-03-15 10:02:08,424 [Worker-34] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of karaf-twitter
2018-03-15 10:02:08,424 [Worker-34] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for karaf-twitter
2018-03-15 10:02:08,427 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-15 10:04:32,122 [Worker-41] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-03-15 10:04:32,329 [Worker-41] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: se172:karaf-twitter:0.0.1-SNAPSHOT @ /Users/whw/sp18sjsu/cmpe172-cloud4/karaf-hw/karaf-twitter/pom.xml.
2018-03-15 10:04:32,631 [Worker-41] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /karaf-twitter/src/main/java
